Sentence,Experience,Drug
"It is always best to speak to your health professional before trying the above.""","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"""Medicine works well.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I was really scared initially but with my family and friends support, I gained strength.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"It worked like magic.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I feel really better now.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I am glad I took the medicine.""","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"""This medicine is like playing a game.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"It is a quality of life issue.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I feel depressed and have no energy.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Everything hurts.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"But I want to decrease my chance of possibly getting invasive Breast Cancer or DCIS in my other breast..so will continue to take it.""","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Makes you gain weight, feel moody and bloated.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Fluid retention is bad.""","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"""Costochondritis following bronchitis infection, taking naproxen for three months no change,""","Negative Experience - No symptoms mentioned but negative words found",naproxen
"I stopped the drug immediately, that was 6 months ago and I still have shortness of breath and can't do cardio class at all.","Negative Experience - No symptoms mentioned but negative words found",naproxen
"At the very least this will take the sharp edge off and give you enough time to get to Urgent Care or an immediate doctor appointment.","Positive Experience - No symptoms mentioned but positive words found",naproxen
"And, I would sleep long hours, and no sleep is enough for me.","Positive Experience - No symptoms mentioned but positive words found",naproxen
"Taking naproxen 220 mg and sleeping that night, I felt 10 times better.","Positive Experience - No symptoms mentioned but positive words found",naproxen
"I slept good that night.","Positive Experience - No symptoms mentioned but positive words found",naproxen
"I feel like I could do the usual tasks (including eating) now.""","Positive Experience - No symptoms mentioned but positive words found",naproxen
"I was able to move around without being uncomfortable.","Negative Experience - No symptoms mentioned but negative words found",naproxen
"I am extremely satisfied with the results.""","Positive Experience - No symptoms mentioned but positive words found",naproxen
"Love love love.","Positive Experience - No symptoms mentioned but positive words found",naproxen
"I've had severe cramps ever since and as soon as I started taking this everything will go away in less than 15 minutes.""","Negative Experience - No symptoms mentioned but negative words found",naproxen
"It is magical.","Positive Experience - No symptoms mentioned but positive words found",naproxen
"I used to have really bad migraines that made me vomit.""","Negative Experience - No symptoms mentioned but negative words found",naproxen
"I looked up the side effects that the pharmacist didn't mention and found then listed under the Uncommon and Rare side effects, which means I'm just unlucky.""","Negative Experience - No symptoms mentioned but negative words found",naproxen
"Sometimes it works like a charm, but other times it'll do absolutely nothing.","Positive Experience - No symptoms mentioned but positive words found",naproxen
"It fails more often than it helps, though.""","Negative Experience - No symptoms mentioned but negative words found",naproxen
"""Don't feel any difference with this medication 2 tablets 1 in morning 1 at night doesn't work for me at all 250mg""","Positive Experience - No symptoms mentioned but positive words found",naproxen
"""I am pretty sure this medication is just acid in pill form.","Positive Experience - No symptoms mentioned but positive words found",naproxen
"And not the fun kind either.","Positive Experience - No symptoms mentioned but positive words found",naproxen
"I used to have severe ulcers, and I know when a medication is burning my stomach lining.","Negative Experience - No symptoms mentioned but negative words found",naproxen
"No more ulcers for me thank you.","Positive Experience - No symptoms mentioned but positive words found",naproxen
"That with severe ringing in the ears and persistent nausea-I quit this medication after a week.""","Negative Experience - No symptoms mentioned but negative words found",naproxen
"""Made me depressed and out of it to the point I had brain fog and was hospitalized""","Negative Experience - No symptoms mentioned but negative words found",naproxen
"""I went for a walkabout in Australia wearing inappropriate footwear and developed tendonitis on my right heal.","Positive Experience - No symptoms mentioned but positive words found",naproxen
"This medicine relaxed the tight tendon within a day.","Positive Experience - No symptoms mentioned but positive words found",naproxen
"The problem has not returned so I can keep dancing.","Negative Experience - No symptoms mentioned but negative words found",naproxen
"Great medicine.""","Positive Experience - No symptoms mentioned but positive words found",naproxen
"Nothing worked so I tried Aleve.","Positive Experience - No symptoms mentioned but positive words found",naproxen
"Got brave and took 2 today, even though these are supposed to last 12 hours and it didn't feel any different.","Positive Experience - No symptoms mentioned but positive words found",naproxen
"I do not recommend this to anyone.","Negative Experience - No symptoms mentioned but negative words found",naproxen
"I've played competitive softball and basketball my whole life and now play for my high school.","Positive Experience - No symptoms mentioned but positive words found",naproxen
"""Swollen and red lower legs, swollen eyelids.","Negative Experience - No symptoms mentioned but negative words found",naproxen
"I stopped using it after the second use, yet it bother me day and night for week now.","Negative Experience - No symptoms mentioned but negative words found",naproxen
"Suggested to take Tamoxifen for preventive reasons and strong family history of breast ca.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"The risk of the adverse affects were greater than initial dx.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:I took Tamoxifen for 5 years, 5years ago and I had a good experience with this medication.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"During the time I took the medication I did not experience any side effects at all and my arthritis even seemed better.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I am 70 years old and had mammograms yearly with no cancer.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:I was told i had a 3cm tumour in my right breast near the lymph nodes.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"After a lumpectomy it turned out to be grade 3 cancer which is fast growing and invasive.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"It had not spread and my centinel node was negative.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Went back to see my surgeon and had another scan.I had  more seromas by then and had some drained.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I hate it!","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"And i've noticed my face getting a soft downy hair on it.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"The first 6 months my hair was falling out in chunks,but my onco said it wasn't the tam.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I have continued the last almost four years on 20 mg with good results Id say.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I have had to had surgery again in 2013 but it wasnt malignant.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"BUT that is ok just a blip in this thing called life,a chapter in my book.One year and a couple months and Im done with this I hope ;) Live .love .laugh people ...enjoy  take care Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"My body got so confused.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I get so upset over the littlest things that I feel like I'm having a panic attack(start breathing really deep almost like I cant catch my breathe.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I also have eyes irritations and itchy skin.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"The polyps were noncancerous - Thank GOD.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Ladies, make sure we do our part in getting the most effective health care by going to doctors and maintaining a personal health log.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"As a team, we can give breast cancer, a run for its money.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"God bless and good luck to all taking the breast cancerHide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:I put effective because in 2 years of taking the ""half dose"" (10mg) I have remained cancer free.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I however have not felt like myself since the week I started it.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Eyes have trouble focusing, but I do not need glasses.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Bone/joint aches even though I workout 5-6 days per week and do yoga.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Very hard time losing weight.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I will do my best to stick it out for 5 years, but have told my oncologist that is it.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"This medication got progressively worse as I took it.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I thought I was going to die.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"My vision deteriorated so fast on this medication, I was afraid I was going blind.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Mood swings, maybe just because I felt so horrible, were extreme.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Been off for over a month now and still plagued with side effects but they have been lessening with time, and am getting stronger.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I am really afraid of returning breast cancer (or worse) but taking this again is not an option.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"All of my scans since surgery and treatments have been clear.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I have heard a lot of bad reviews on this medication but I have not had bad side effects.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:I took Tamoxifen for 5.5 yrs for treatment of breast cancer after a mastectomy.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Don't be scared off by all the negative posts; I think generally only people with bad experiences post.Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:I hate this medication.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Been taking Tamoxifen (T) since then and follow up mamo is clear so far.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Gave Effective rating 4 stars since its early yet.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I have minor issues, but I don't believe they are T related since I had them before taking it.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Think its just menopause and also believe its not enough vitamin D and calcium.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"what I would like to know is if there is anyone out there in my age range?","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I'm also a high risk in my family pool when it comes down to breast cancer.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"All comments are welcome to help me go thru the next 3 yrs.Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I feel very sad and empty since taking it.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"My joints hurt and body ache.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Really hate this medication.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I was on Evista for 2 years, but was having severe leg cramps.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I have been having problems controlling my blood sugar levels.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Both my primary doctor and my oncologist do no seem concerned.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I am still experiencing leg cramps but not as severe.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Also, libido is nonexistent and cataracts are beginning to form.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Must decide if the side effects are worth it.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:Invasive cancer into lymph nodes and DCIS, ER Positive, left mastectomy.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:this medication has worked for me and i feel better now thnxs GodHide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I have been on Tamoxifen for 9 months now (just had my clean 1-year mammogram yesterday!)","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"The only side effect has been a slight increase in triglycerides, which scared me into cutting back on sugar, and as a result, I've lost 20 pounds.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"It's all good!Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"My bones ache, especially in my feet in the mornings.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
Ugh!,"Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:Was diagnosed in February 2010 with Breast Cancer in left breast only.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"No cancer in the node.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I am overdue for appt with ontcologist but need to make an appt to discuss this.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Can't feel with finger tiops, toes are are numb throughout half each foot.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Being of menopausal age, the night sweats I had previously became much worse.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"My oncologist recommended Effexor, which has helped with moods.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:Started taking it 2 months after my bi lateral masectomy and 13 lymph nodes removal...Starting voimitng or feeling like I had to every morning...Once i vomit I felt immediately better..I could of handle that...It was the severe depression that made me go off the drug..Hard to function on a daily routine....My Va jj felt like a raisin..forget about feeling sexy or even the desire was difficult to fake...I had an exterme vaginal bleed5moths afterstartingwhichcausedmy blood cout to drop to 7.8 Hgb.....that was in Dec I havent taken it since....","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I was totally miserable and wiped out.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Prior to treatment I had been positive and so grateful my cancer had been caught early.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I am slowly feeling better, really much better!","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Now I am questioning the need for radiation, as I am quite certain it has damaged my lungs.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I have friends who have had no problems with Tamoxifen, they look at me as if I have five heads.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I pray the cancer will not return, but I also need to live the life I have.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:6 months of this drug gave me severe depression.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I had to get off drug because of the negative depresssion.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I get achy in the hands and feet, have gained weight (20)lbs.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"and hate the hunger it seems to give me cravings for calorie laden foods.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"yes, i will take the risk of the cancer returning!!!","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I took Tamoxifen for 13 months and discontinued after discussing with my oncologist.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"The side effects out weighed the good.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I bacame over whelmed with mood changes and hot flashed which then I was put on Effexor to control those symstoms.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I have also experenced weight gain, low energy.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"After researching this it can be caused from menapause which your body is put through like symtoms of menopause.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Won't really know until after the 5 years & the cancer doesn't return.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Before reading anything about Tamoxifen, I had no ill feelings about taking the hormone pill to prevent the cancer from recurring.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I've suffered from migraines in the past and that would be the one deal-breaker for me over all other side-effects.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Really apprehensive about starting Tamoxifen now.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Drs ruled out everything else, oncologist determined it was the Tamoxifen and stopped it, 3 weeks later the symptoms are lessening but still present.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Have read a great deal more ref this drug during the past several weeks and do not wish to restart.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Oncologist told me Thurs he will not put me back on this drug, we will try something else in a month when I am better.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I am 51 and have never had any drug sensitivities before this ever, very strong system.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Was already a 3x cancer survivor (all different), so very scared of reoccurrence.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"It hurts to write my name.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"December can not get here fast enough for me!","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:good and  troublefreeHide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:In December 2011, I was diagnosed with Stage 1 estrogen positive.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I was fortunate enough where I did not have to have chemo or radiation.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I am 35 yrs old and last year end of march I have diagnosed with stage 1 node negative hormone positive breast cancer.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I have not experienced any hot flushes or night sweats and weight gain (yet).","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I am also experiencing some memory issues here and there too.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I am still having my period but not as much as I used to be.I think the positive side effect I am experiencing is it's slowing&thinning down my bodily hair growth which I am not complaining at all lol.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"and I don't think it is affecting my hair growth looks like it's growing normally.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"It was like being in menopause for years, night sweats, extreem mood swings, poor memory, and all the physical aches.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"After 3 years I told my dr. some things are worse than death & that was living on this drug for 2 more years.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I believe tamoxifen has no merit.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I am 21 years chancer free.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I also suppose to be on this pill for 5 yrs...gotta be a better alternative, why does every medicine you take have side effects....Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:I am a six year survivor, just finished up my 5 years on tamoxifen.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"The side effects were tolerable considering the alternative.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I found taking it at night was better, also, take the Effexor - it's amazing how much it helps.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Stay as active as you can, the more exercise you can get the better you will feel.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:I was also saddened to read that so many of us are struggling with the side effects of taking this medication.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"My onco gave me Effexor but I am afraid to take another med.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Unsure if chemo treatment 2 years ago caused these changes, or the ongoing tomaxifen.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I don't want breast cancer again so I take it every morning, it is real, but worry about what impact it has on my life and relationships for 5 years ??","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:Am a survivor, 1 year and 7 months now.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"No chemo though dr said if the cancer comes back then chemo will definitely be done, which I dread.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Since then I gained back 10 lbs, started eating more, though the occasional cheating on the sweets not good as this feeds the cancer...so far so good ... take care of yourselves, especially watch the diet.Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"If I am active, even walking around the mall I begin sweating and it takes me until I can sit,and get in a very cool place before the sweating will stop.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I don't know if there is something I can do to  help this problem or not but it is very annoying.Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:I have been taking tamoxifen 2.5 years and I just don't know when enough is enough?","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I think about suicide everyday.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I work with my doctors and am on a high dose of effexor.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"They have tried everything they can think of and nothing is helping me.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:Wrote a review in 08/2011; It's been almost a year on T & so far so good.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Again, it's a simple solution to prevent breast cancer so I will continue another four years!Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"); 30 radiation trtmnts (then we went to Disney World :-) I was hesitant to go on as concern of weight gain, and I'm already battling weight.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"And I was not experiencing anything other adverse that would be of concern toward that.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"HOWEVER, after about 7-8 mths the Dr who prescribed me Wellbutrin (Bupropion 300mg/day) said that a study indicated the Wellbutrin would negate any affect of the Tamoxifen (NOT harmful just negate) so I went off it.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"My hair improved but unfortunately my weight went up (not drastically but there was a difference when on or off Tamoxifen).","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"So as far as the Effectiveness rating, I couldn't really tell as not on long enough but I had to pick a rating so went 'middle-of-the-road'?Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:I don't like taking this medication.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"My joints ache and my bones feel sore.I have bad hot flushes.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"so far so good.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I can sleep at night, I have NEVER gained weight in my life, but have gained 10 pds since being on tamoxifican.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I do not believe it does not cause weight gain as everyone else has the same side effects.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I wish there was an alternative for peri menopause women, and hope it is effective, will see.Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:I just read about 50 of the reviews and I'm so scared to take this medication.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I don't know if I'm as brave as a lot of you to try it, I feel like this medication is so wrong.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:Depressed and a lot of nausea
Hide Full Comment","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Want to feel good enough to get all I can out of life!","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"So far so good.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"This is helping so far.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Every other couple days, I will take 1-2 capsules of valarian roots to help get a good night sleep.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Noticed slight weight gain but control with healthy eating and less portion of carbs at dinner time.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"No fried food.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Big breafast and lunch with increase in vegetables and fresh fruits.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Good luck everyone!","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I was removed from treatment on this medication because of these and other side effects after 5 weeks, so its effectiveness cannot be really examined accurately.Hide Full Comment","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"So bad I can't 
sleep,rest.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Comment:HAVE BEEN TAKING TAMOXIFEN FOR ALMOST THREE YEARS AFTER A TOTAL MASTECTOMY FOR BREAST CANCER.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Experienced weight gain.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Comment:Stage 1 invasive BC.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
