Sentence,SymptomCriticality,Symptom,Drug
"there were a lot of side effects after stopping estrogen, dry skin, loss of libido, edgy feeling.",Symptoms are possibly bad: symptoms mentioned but no verb found,dry skin,tamoxifen
i had hot flashes but did not feel them.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"i had hot flashes in the beginning, but finally went away.""",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"it made me very tired (loss of vitality) but it is much better now; had constipation but increased my fiber, water and exercise - all is well as long as i do this; joint pain in my hips but is better with the exercise, nausea - i had a little when i started, it got better and now it is back and worse - i have started taking pepto-bismol and it has helped - you can try mint (candy, gum); anxiety - happens occasionally but so far tolerable.",Symptoms are ok: Presence of positive verb + symptoms,anxiety,tamoxifen
"hot flashes, severe sweating, insomnia, severe constipation, no menstrual periods, it has stopped it completely, bone pain, light headness, unsteadiness, nausea....i fear what i am going to experience next.",Symptoms are bad: Presence of negative verb + symptoms,bone pain,tamoxifen
i have shrunk inside a bit so now sex is painful.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
"""i have been on tamoxifen for 10months now..i have had hot flashes, night sweats, mood swings, heavy menstrual bleeding, discharge, headaches and now back pain.",Symptoms are possibly bad: symptoms mentioned but no verb found,back pain,tamoxifen
"""i had been suffering with sciatica for a number of years, when it suddenly worsened.",Symptoms are bad: Presence of negative verb + symptoms,sciatica,naproxen
i started getting shooting pains and severe weakness in both of my legs.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,naproxen
this is the only drug that helps my si back and hip pain.,Symptoms are possibly bad: symptoms mentioned but no verb found,hip pain,naproxen
"""naproxen helped to lessen the pain of herniated discs, but i experienced shortness of breath and was only able to get through 10 mins of cardio class.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,naproxen
"""it does absolutely nothing for my pain.""",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,naproxen
tried as desperate for all day pain relief from sciatic nerve.,Symptoms are bad: Presence of negative verb + symptoms,pain,naproxen
"""this should be the first thing you take when you realize you have back pain.",Symptoms are possibly bad: symptoms mentioned but no verb found,back pain,naproxen
"i have noticed that for extended use (2-5 days) the pain symptoms slowly come back, but at least this is something i can buy otc.""",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,naproxen
"""i was suffering from the common cold and had symptoms of dry cough, congested sinus, large headache, slight ear pain, sore throat, and muscle pain in my knees and gleutus maximus.",Symptoms are bad: Presence of negative verb + symptoms,cough,naproxen
"also, i would wake up in the middle of sleeping, mumbling from my symptoms and pain.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,naproxen
"the headache was gone, and so was the muscle pain.",Symptoms are possibly bad: symptoms mentioned but no verb found,headache,naproxen
i started to experience pain after having to pick up heavy packs of water bottles and other heavy items.,Symptoms are bad: Presence of negative verb + symptoms,pain,naproxen
the pain was all in my lower back.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,naproxen
i would rate my pain on a scale from 1 to 10; a 7.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,naproxen
it was a sharp stabbing pulling pain in my lower back and it even hurt to take a deep breath.,Symptoms are bad: Presence of negative verb + symptoms,pain,naproxen
"""i have tendonitis in both elbows and ankles i am young and fit very active person a few months ago i could barely walk or hold a cup of water to my mouth without being in consent pain, i pushed through as much as i could but one day it got too much i went to my doctor who prescribed me 500mg naproxen and instantly the pain has gone, i am back running and at the gym doing weights.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,naproxen
"when ever i take the medication my pain reduces from like a 6 to a 4 which is awesome!!""",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,naproxen
"i have lost weight and pain has been reduced.""",Symptoms are bad: Presence of negative verb + symptoms,pain,naproxen
"the pharmacist told me that at worst i would experience indigestion, and it should not be combined with other pain medication or else i'd deal with internal bleeding.",Symptoms are possibly bad: symptoms mentioned but no verb found,bleeding,naproxen
"what i wasn't ready for was crippling fatigue, vision impairment, nausea, urine darkening, cold sweats, and my back pain getting even worse.",Symptoms are bad: Presence of negative verb + symptoms,back pain,naproxen
"""i take naproxen for jaw pain and it's really hit-or-miss.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,naproxen
"""i started taking this per my doctor instead of tylenol for lower back pain.",Symptoms are possibly bad: symptoms mentioned but no verb found,back pain,naproxen
"i had stomach issues.. could not eat, vomited, severe itching on the legs and armsi """,Symptoms are bad: Presence of negative verb + symptoms,itching,naproxen
"""suffered severe period pain doctor put me on naproxen in 2 months have no pain and no period flow it's basically stopped but side effects i got itchy hives but it's great..but doctor says pain is fibroids that have to come out i wanted to stay on naproxen but she said it's only a solution not the end result....""",Symptoms are bad: Presence of negative verb + symptoms,hives,naproxen
i took the medication with food as prescribed and still this is the worst heartburn i have ever had in my life.,Symptoms are possibly bad: symptoms mentioned but no verb found,heartburn,naproxen
excruciating pain in lower si region of my back following an aggressive 30 mile bick ride and a few days of surfing.,Symptoms are bad: Presence of negative verb + symptoms,pain,naproxen
woke up the next morning with shooting pain in low back which progressed to shooting pains running down my glutes and referred pain to the hip flexor region.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,naproxen
for two weeks this was extremely painful and did not subside even w/ ice applications and finally chiropractic visits 5 total and lots of advil.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,naproxen
"i highly recommend for anyone with back pain as it really helped me!""",Symptoms are ok: Presence of positive verb + symptoms,back pain,naproxen
"started with joint pain, chills, developed minor cataract after 1 year on medication (now advanced enough during second year to have extraction).",Symptoms are ok: Presence of positive verb + symptoms,chills,tamoxifen
i had 3 weeks of radiotherapy and have been in pain ever since.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
had such a big seroma i was crying with the pain.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
i feel tired and lethargic all the time.,Symptoms are bad: Presence of negative verb + symptoms,tired,tamoxifen
"no sex drive, brain fog,muscle aches, and severe constipation are the worst things because these were never a problem before tamox.",Symptoms are possibly bad: symptoms mentioned but no verb found,constipation,tamoxifen
"the next time i got my prescription filled, i noticed that ""hair loss"" was listed after ""stroke"" under side effects, so there.",Symptoms are possibly bad: symptoms mentioned but no verb found,hair loss,tamoxifen
"the hair loss has stopped, but i also started taking biotin to help my hair.",Symptoms are possibly bad: symptoms mentioned but no verb found,hair loss,tamoxifen
"yea ive had the migranes,very rare now,hot flashes occasionally the only thing that has got more frequent is leg and foot cramps bad and my vision seems to be getting weak.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
i ended up bleeding for 10 months in a row so stopped taking it.,Symptoms are bad: Presence of negative verb + symptoms,bleeding,tamoxifen
"comment:hot flashes depression, the worst of all is my ""fit of rage"" over nothing.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"i can live with hot flashes,aches,pains,headaches,etc.",Symptoms are possibly bad: symptoms mentioned but no verb found,headache,tamoxifen
"recently, sept. 2014, i had a d & c to stop excessive bleeding, remove polyps and reduce the thickness of uterus walls.",Symptoms are possibly bad: symptoms mentioned but no verb found,bleeding,tamoxifen
"although my oncologist took me off of the tamoxifen immediately, august 2014, because of the bleeding - the side effects continues.it makes me wonder if the benefits of the medication outweighs the many side effects that the medication causes.",Symptoms are ok: Presence of positive verb + symptoms,bleeding,tamoxifen
"during my two months of taking the medication, i experienced chills, night sweats, extreme spike in sugar readings, aches and pains -- so bad i could not make it from room to room, face rash, etc.",Symptoms are possibly bad: symptoms mentioned but no verb found,chills,tamoxifen
headaches were bad.,Symptoms are possibly bad: symptoms mentioned but no verb found,headache,tamoxifen
comment:i been on this med since january 2014  i had hot flashes which slowed down alot.i have muscle aches and then my lining was thick so 3 weeks ago i had a dnc now i got my period heavy again.i am going to gyno today to talk to her i want off of this i havent felt the same since taken it.i was stage 1  my limpnodes were removed all good.i really thought u dont get your period on this meds.i am 54 years old had breast cancer 2013.so far so good.and just started getting my period again it horriable.that it sooo heavy.....oh well thats my storyhide full comment,Symptoms are bad: Presence of negative verb + symptoms,hot flashes,tamoxifen
"very rarely, i will have mild hot flashes.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
the only side-effect i noticed was that my post-menopausal hot flashes were a little more frequent.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
comment:had several fevers over 101 and had excruciating bone pain all over making it difficult to sleep or get up from sofa.hide full comment,Symptoms are bad: Presence of negative verb + symptoms,bone pain,tamoxifen
comment:my   face & hands have a rash & swelling after being in the sun.,Symptoms are possibly bad: symptoms mentioned but no verb found,swelling,tamoxifen
the only way i can tolerate it is to take something for anxiety.,Symptoms are possibly bad: symptoms mentioned but no verb found,anxiety,tamoxifen
"comment:i am 64 i have been on the drug for 2 1/2 years normal i would not taken this drug but the other drugs contain steriod, side effects hot flashes night sweats pain in the legs i have not those since my 50's i have been off the drug for 2 mos because i had retina surgery had to be face down for one month i didnt want to deal with side effects guess what went away the drug can form crystals in the retina so now i have to see my retinal doctor twice a year now i have to make a choices eyes or cancer right now i am visually impaired due  to retiona problems in both eyeshide full comment",Symptoms are bad: Presence of negative verb + symptoms,hot flashes,tamoxifen
"symptoms are hot flashes, achy bones/joints, trouble with sleeping at times.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
i also have vaginal dryness and itching.,Symptoms are possibly bad: symptoms mentioned but no verb found,itching,tamoxifen
"weight gain (15 lbs), rash on face, severe dizziness, fatigue all day long, achy joints, foggy brain, blurry eyes and diagnosed w/cataracts.",Symptoms are bad: Presence of negative verb + symptoms,dizziness,tamoxifen
"and i get muscle cramps in obscure muscles, (ankles, side of foot).",Symptoms are possibly bad: symptoms mentioned but no verb found,muscle cramps,tamoxifen
"comment:this drug has made my emotions go into over-drive, which brings about stress headaches and depression.hide full comment",Symptoms are possibly bad: symptoms mentioned but no verb found,headache,tamoxifen
"comment:i have been taking tamoxifen for two yrs,i had chemo a bi-mast, i haven't had many side 
effects, some hot flashes.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
have been taking this medication for 3 years and hot flashes have mostly passed.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"have increasing pain in my knees and feet, some headaches, have gained about 10 pounds and have lost that sex drive and energy that most of the others have talked about.i also am experiencing blood capilaries very close to the skin on my forearms (just a scratch will bring the blood to the skin and sometimes bleed.)",Symptoms are bad: Presence of negative verb + symptoms,headache,tamoxifen
"however, i get up each morning achy, with pain in my knees and legs,sometimes my hands.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
"comment:i've had some hot flashes,however it's the irregular periods, which are very heavy, which are caused by a thick lining forming on my uterus, which is giving me a hard time.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"not to mention feeing lethargic, tired and just plain miserable.",Symptoms are bad: Presence of negative verb + symptoms,tired,tamoxifen
(they were really extreme and i don't want to experience that level of pain again.),Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
"comment:2 lumpectomy (right breast), radiation, started tamoxifen in jul, nausea passed after 30 days, hot flashes, night drenches, severe insomnia, joint pain (hands/legs), weight gain (20), fatigue, mild vision issues.",Symptoms are possibly bad: symptoms mentioned but no verb found,fatigue,tamoxifen
"started super antibiotics in dec for infected cyst in breast, 10 days later intense spells lasting 20-25 mins with the following symptoms began, happened 2-4 times a day mostly in the evening (heart palpitations, loss of balance, dizziness, blurred vision, chg in distance vision, extreme pressure behind face/eyes, cognitive disruption (speech/processing data), headaches, elevated blood pressure.",Symptoms are bad: Presence of negative verb + symptoms,blurred vision,tamoxifen
"worst for me is joint pain, especially in my hands!",Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,tamoxifen
"however i am experiencing fatigue and bone pain especially my feet, my heels, my ankles and my lower legs.. and noticing some spider veins on my upper legs as well..",Symptoms are possibly bad: symptoms mentioned but no verb found,bone pain,tamoxifen
i am just hoping  that all those aches and pains will eventually go away.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
comment:except for the hot flasheshide full comment,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"i was diagnoised in aug 2011, did chemo, lumpsectomy with 27 lyphnodes removed, just completed radiation june 1, i was prescribe tamox in march but didn't actually start taking til april, i was a lil skeptical about taking this med so still not taking it as should i take it on mwf instead of everyday but i still experience the leg joint pains, hot flashes (not as severe as when i was on chemo), headaches (didn't realize they were from the med til i read reviews), tiredness (thought that was from radiation).",Symptoms are possibly bad: symptoms mentioned but no verb found,headache,tamoxifen
comment:tired and fatiguehide full comment,Symptoms are possibly bad: symptoms mentioned but no verb found,fatigue,tamoxifen
"the side effects were gradual but now they are full blown...fatigue, depression, hot flashes, joint pain.",Symptoms are possibly bad: symptoms mentioned but no verb found,fatigue,tamoxifen
"comment:i am so saddened to read that other women are experiencing similar symptoms as myself - lethargy, mild depressive mood, night sweats, weight gain - i have lost the pep in my step.",Symptoms are bad: Presence of negative verb + symptoms,lethargy,tamoxifen
"there's night sweats, insomnia, leg cramps-this really painful, fits of depression, vaginal discharge everyday, always feeling tired...lost 20lbs on the first 2 months 'cause i was terrified that anything i eat would kill me, so i quit the sodas, canned and preserved foods, sweets, rice, breads ... losing weight was maybe good at first, but my taste buds were so sad and i was miserable.",Symptoms are bad: Presence of negative verb + symptoms,pain,tamoxifen
comment:i am experiencing serious hot flashes that last for hours.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"i have suffered severe insomnia, extreme fatigue, been diagnosed with major depressive disorder, i can't eat, i am completely nonfunctioning.",Symptoms are bad: Presence of negative verb + symptoms,fatigue,tamoxifen
comment:i get up wih a headache everyday.,Symptoms are possibly bad: symptoms mentioned but no verb found,headache,tamoxifen
"the weight gain has not happened; the pain in the legs have subsided; sex drive & exhaustion i believe is just an ordinary part of life; the hot flashes are still there, but seem to only happen right after i take the t.  i take it in the evening around supper and have hot flashes on and off all night; i will report however, that my lining of my uterus has thicken and had a dnc last month; would really like have all that removed so that isn't a concern but have to follow protocol before surgery can happen.",Symptoms are ok: Presence of positive verb + symptoms,hot flashes,tamoxifen
"comment:lethargy, loss of appetitehide full comment",Symptoms are possibly bad: symptoms mentioned but no verb found,lethargy,tamoxifen
comment:i feel that this drug is working very well for me although the hardest thing for me are the hot flashes that comes along with taking this drug.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"comment:left masectomy in march 2010 with lymph node removal on the left side; side effects of tamoxifan are weight gain; hot flashes, my oncologist put me on gapapenten to stop the side effects and it works like a dream.",Symptoms are ok: Presence of positive verb + symptoms,hot flashes,tamoxifen
"i am losing weight after joining a slimming class, i take pain killers for the joint pain.......all in all after my initial kicking and screaming about taking tamoxifen...i wouldnt be upset if i had to take them the rest of my life!hide full comment",Symptoms are bad: Presence of negative verb + symptoms,joint pain,tamoxifen
"hate the weight gain, the indigestion, and just feeling like a 70+ woman when, i am 47.",Symptoms are possibly bad: symptoms mentioned but no verb found,indigestion,tamoxifen
no bone pains or headaches.,Symptoms are bad: Presence of negative verb + symptoms,bone pain,tamoxifen
"i have some sleeplessness but dealing with it by taking tamoxifen in the morning, only one coffee in the morning, and dringking camomile warm tea before bedtime.",Symptoms are possibly bad: symptoms mentioned but no verb found,sleeplessness,tamoxifen
"in fact,i notice a light weight loss this morning!",Symptoms are possibly bad: symptoms mentioned but no verb found,weight loss,tamoxifen
i think this keeps me from having bone and joint pain and also keep blood clots which cause leg pains away.,Symptoms are bad: Presence of negative verb + symptoms,joint pain,tamoxifen
the headaches were also migraine-level but did not respond to treatment.,Symptoms are possibly bad: symptoms mentioned but no verb found,headache,tamoxifen
"comment:hot flashes
side effect of this medicine.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
hot flashes are getting less but bone and joint pain getting worse!,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"comment:started t; took it for a year; the pain in the leg was so severe the dr stopped it; ran test; started it again in may, 2011; the pain has returned but not as bad; hot flashes have increased; this time it seems to make me more tired than usual, but not sure if the medication has caused this; loss of sex drive, but the side effects don't mention women in this area just men; so going to watch and document and compare; im hoping this medication is like other medications that is taken for a long period of time--either the side effects subside or one grows accustom to them....overall, i would rather prevent the breast cancer and sweat a little.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"not many hot flashes, but i don't sleep well; i now have age spots; i just feel old and rundown.",Symptoms are ok: Presence of positive verb + symptoms,hot flashes,tamoxifen
"i walk everyday so i do stay active, but the bone pain makes it difficult.have had some depression but i am peri-menopausal so that could contribute.",Symptoms are possibly bad: symptoms mentioned but no verb found,bone pain,tamoxifen
"weight gain, hot flashes, early menopause, leg/foot cramps.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
comment:the main side effect i have experienced taking tamoxifen is hot flashes.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"can't believe how much my body has been put through the last 18months,have been on tamoxifen 9 months and experienced alot of side effects, vaginal itching/dryness, poor memory / concentration, muscle and joint aches and pains, fatigue/tiredness, nausea,mood swings,hot flashes,irratable,bad headaches, cramping and tenderness, weight gain etc etc.",Symptoms are bad: Presence of negative verb + symptoms,fatigue,tamoxifen
"comment:i really hate this drug tamoxifen, but i guess it will help me live, but i wonder, my face stays red, i have gained weight, hot flashes are hard too deal with,i had my breast ca in june2010, chemo and radiation,and i am 51 with a son and it has been very hard, breast cancer is a very powerful illness,and if you have not had this dz you don't know what women really go threw.........",Symptoms are bad: Presence of negative verb + symptoms,hot flashes,tamoxifen
the hot flashes have been better.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"still have the bone pain, but what upsets me more is the hair loss,weight gain and depression.",Symptoms are bad: Presence of negative verb + symptoms,bone pain,tamoxifen
had osteoarthritis prior to all of this (have been rn for 30+ years) joint pain/weakness so severe i couldn't walk after 6months.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,tamoxifen
lymphedema is not a pleasant side affect.,Symptoms are possibly bad: symptoms mentioned but no verb found,edema,tamoxifen
so far the hot flashes arent bad but i do have joint and bone pain.,Symptoms are possibly bad: symptoms mentioned but no verb found,bone pain,tamoxifen
"have been on tamoxifen for 1 1/2 years and i have hot flashes that come and go, along w/my period.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"have been on tomoxifn for 4 months now and have had awful side effects, hot flashes during the day and night so severe, i have to sleep on a towel - because it gets soaked everytime i have one and usually have to reapply my make up during the day.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
haven't slept thru the night in 4 months and have started to get hip and ankle pains along with alot of forgetfulness - meet with my oncologist in two weeks - is it worth it?,Symptoms are possibly bad: symptoms mentioned but no verb found,ankle pain,tamoxifen
right ankle swollen and now left hand & shoulder swells & is painful.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
the hot flashes are pretty extreme and sometimes make me feel nauseated.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
i have been given neurontin to help with the hot flashes.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"experiencing some hot flashes, but nothing out of the ordinary.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
can't say i've experienced joint pain.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,tamoxifen
comment:i have encountered hot flashes.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
the hot flashes are pretty severe.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"too many hot flashes, ankle swelling, insomnia, plus anxiety over risk of serious side effects.",Symptoms are possibly bad: symptoms mentioned but no verb found,anxiety,tamoxifen
comment:i have alot of hot flashes sometimes to the point of sweating.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"started being nauseated all the time; swollen throat, muscle aches and being more fatigued.",Symptoms are bad: Presence of negative verb + symptoms,fatigue,tamoxifen
need something to help with the nausea and sore throat.,Symptoms are possibly bad: symptoms mentioned but no verb found,sore throat,tamoxifen
tired of feeling so bad lately.hide full comment,Symptoms are bad: Presence of negative verb + symptoms,tired,tamoxifen
"comment:i taken tamoxifen for (5) years after having stage (2) breast cancer 10 years ago.i underwent chemo & radiation at the time.today,my breast cancer came back in my other breast.thank god,it's a stage 0 & all that is reguire for me is ""radiation"".my concern today is after radiation i must ""orally"" take another hormone treatment for the next (5) years.i had terrible side effects in the past from taking tamoxifen,mainly hot flashes,dryness with itching.i want to continue taking  some type of harmone treatment but i sure don't want any more increase of side effects.i'm now age 63 years of age & still occasionaly  sexually active.that was another side effect i didn't like.this happen 10 years ago,are their any new harmone replacements that i now can take besides tamoxifen?or will i have more increased side effects?",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
comment:i can only take 10 mg each day and i have feelings of exhaustion and horrible hot flashes.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"when i first went on the tam., i was miserable with hot flashes, joint pain, a terribly broken out face, and i could not sleep at night.",Symptoms are bad: Presence of negative verb + symptoms,hot flashes,tamoxifen
"for the past 6 months, i've had terrible pain in my calves & easily pull my calf muscles when doing any kind of exercise.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
i was constantly cold & very fatigued - i attributed this to having 3 surgeries in 11 months.,Symptoms are possibly bad: symptoms mentioned but no verb found,fatigue,tamoxifen
"for 4 months & am feeling less tired & cold, but continue with the cramps/pulled muscles.",Symptoms are possibly bad: symptoms mentioned but no verb found,tired,tamoxifen
if the muslce pain con't.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
"i also had hot flashes, but i went thru immediate menopause so understandable.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"terrible hot flashes, do not sleep thru the night, rash on face, hip pain, rib pain.",Symptoms are possibly bad: symptoms mentioned but no verb found,hip pain,tamoxifen
"comment:i have experienced terrible hot flashes, memory loss, blurry vision, depression, and recently terrible legs cramp.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"comment:for the first time using this medication i had ache and pain all over my body, just like when i was on chemo.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
"comment:hot flashes,insomnia,night sweats,weight gain,leg pain.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"leg&knee pain,back pain.anyone with estrogen breast cancer have fibroids as well?just curious,since they're estrogen provoked.",Symptoms are possibly bad: symptoms mentioned but no verb found,back pain,tamoxifen
"i have had side effects such as night sweats, headaches, dizziness and blurred vision.",Symptoms are possibly bad: symptoms mentioned but no verb found,blurred vision,tamoxifen
"the side effects of tamoxifin for me were weight gain, joints are painful and my face breaks out.",Symptoms are bad: Presence of negative verb + symptoms,pain,tamoxifen
taking effexor now and my hot flashes are completely gone.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"i have not had the hot flashes (i take a vitamin e tablet in the morning and at night to combat this), but have experienced leg and foot cramps.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"comment:have not had many side effects from the medication, but i do have the start of a cataract (don't know if this is related to the tamoxifen), hot flashes that have caused a sleeping problem and problems with low back pain and joint pain.hide full comment",Symptoms are possibly bad: symptoms mentioned but no verb found,back pain,tamoxifen
"my expercience with tamoxifen has been leg/foot cramping mostly at night, joint pain, short term memory problems, depression and hot flashes.",Symptoms are bad: Presence of negative verb + symptoms,hot flashes,tamoxifen
last month my oncologist suggested taking same 400mg 2-4 times daily for depression and joint pain.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,tamoxifen
so far my joint pain is about 80% better and my energy and motivation has noticably improved.,Symptoms are ok: Presence of positive verb + symptoms,joint pain,tamoxifen
still having ocassional leg cramps at night but the hot flashes have decreased...not sure if it's due to the diet change or the same.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
"i have no sex drive, constant rashes, infections, joint pain, headache and weight gain.",Symptoms are possibly bad: symptoms mentioned but no verb found,headache,tamoxifen
severe joint and muscle pain.,Symptoms are possibly bad: symptoms mentioned but no verb found,muscle pain,tamoxifen
had to stop all this exercise due to pain.,Symptoms are bad: Presence of negative verb + symptoms,pain,tamoxifen
"main side effects since have been flushing, small headaches of short duration mainly around one eye, trouble sleeping, dizziness when suddenly sitting up or standing, no noticeable weight gain yet.",Symptoms are possibly bad: symptoms mentioned but no verb found,dizziness,tamoxifen
i've read others comment on joint pain.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,tamoxifen
it occured to my doc husband an uncommon side effect of the sweetener aspartame is joint pain.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,tamoxifen
the only side effect has been hot flashes.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
