Post,Sentence,SymptomCriticality,Symptom,Drug
"""Bones hurt a lot, hot flashes were really bad.""","""bones hurt a lot, hot flashes were really bad.""","Symptoms are bad: Presence of negative verb + symptoms","hot flashes",tamoxifen
"""I have been on Tamoxifen for four months now & have been told I will be taking it for the standard 5yrs. I have had hot flashes, no period (that stopped after my second Chemo in April 2013), sex drive has disappeared (also from Chemo & Tamoxifen combined) and I have had pelvic pain (tend to be more apparent when I lay on my back), joint pain(in my elbow and where legs join pelvic) and lower back pain. I am hoping that some of these side effects will soon subside.  Wow, it is amazing all the different side effects that Tamoxifen causes for people. Reading a lot of these comments has made me now realize that all the pains & aches I have been having, truly are side effects from the Tamoxifen. It's nice to know I'm not alone! ""","i have had hot flashes, no period (that stopped after my second chemo in april 2013), sex drive has disappeared (also from chemo & tamoxifen combined) and i have had pelvic pain (tend to be more apparent when i lay on my back), joint pain(in my elbow and where legs join pelvic) and lower back pain.","Symptoms are possibly bad: symptoms mentioned but no verb found","back pain",tamoxifen
"""I have been on Tamoxifen for four months now & have been told I will be taking it for the standard 5yrs. I have had hot flashes, no period (that stopped after my second Chemo in April 2013), sex drive has disappeared (also from Chemo & Tamoxifen combined) and I have had pelvic pain (tend to be more apparent when I lay on my back), joint pain(in my elbow and where legs join pelvic) and lower back pain. I am hoping that some of these side effects will soon subside.  Wow, it is amazing all the different side effects that Tamoxifen causes for people. Reading a lot of these comments has made me now realize that all the pains & aches I have been having, truly are side effects from the Tamoxifen. It's nice to know I'm not alone! ""","reading a lot of these comments has made me now realize that all the pains & aches i have been having, truly are side effects from the tamoxifen.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,tamoxifen
"""I was on Tamoxifen for 4 1/2 years after I had my chemo. There were a lot of side effects after stopping estrogen, dry skin, loss of libido, edgy feeling. When I started taking Tamoxifen I felt much better. I didn't feel edgy as the Tamoxifen tricked my body into feeling like it had estrogen. I had hot flashes but did not feel them. My friends would tell me I must have had a hot flash because my face turned red, I highly recommend this medicine. I felt much better on it.""","there were a lot of side effects after stopping estrogen, dry skin, loss of libido, edgy feeling.","Symptoms are possibly bad: symptoms mentioned but no verb found","dry skin",tamoxifen
"""I was on Tamoxifen for 4 1/2 years after I had my chemo. There were a lot of side effects after stopping estrogen, dry skin, loss of libido, edgy feeling. When I started taking Tamoxifen I felt much better. I didn't feel edgy as the Tamoxifen tricked my body into feeling like it had estrogen. I had hot flashes but did not feel them. My friends would tell me I must have had a hot flash because my face turned red, I highly recommend this medicine. I felt much better on it.""","i had hot flashes but did not feel them.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"""I took Tamoxifen for 5 years with very little side effects.  I had some weight gain, but nothing I could not handle.  I had hot flashes in the beginning, but finally went away.""","i had hot flashes in the beginning, but finally went away.""","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"""Going on month two now... It made me very tired (loss of vitality) but it is much better now; had constipation but increased my fiber, water and exercise - all is well as long as I do this; joint pain in my hips but is better with the exercise, nausea - I had a little when I started, it got better and now it is back and worse - I have started taking Pepto-Bismol and it has helped - you can try mint (candy, gum); anxiety - happens occasionally but so far tolerable.  It is always best to speak to your health professional before trying the above.""","it made me very tired (loss of vitality) but it is much better now; had constipation but increased my fiber, water and exercise - all is well as long as i do this; joint pain in my hips but is better with the exercise, nausea - i had a little when i started, it got better and now it is back and worse - i have started taking pepto-bismol and it has helped - you can try mint (candy, gum); anxiety - happens occasionally but so far tolerable.","Symptoms are ok: Presence of positive verb + symptoms",anxiety,tamoxifen
"""This medicine is like playing a game. ""Side effect Roulette"". It is a quality of life issue. Yes, it may extend your life, but it makes you misearble while you are getting there. Hot Flashes, Severe Sweating, Insomnia, Severe Constipation, NO Menstrual Periods, it has stopped it completely, Bone Pain, Light Headness, unsteadiness, nausea....I fear what I am going to experience next. This constipation HAS to go.""","hot flashes, severe sweating, insomnia, severe constipation, no menstrual periods, it has stopped it completely, bone pain, light headness, unsteadiness, nausea....i fear what i am going to experience next.","Symptoms are bad: Presence of negative verb + symptoms","bone pain",tamoxifen
"""Though this medicine may give you a chance at living longer, the mood swings are massive. I feel depressed and have no energy. I am always nauseous. Everything hurts. My sex drive is basically gone and my periods are slight if not altogether absent. I have shrunk inside a bit so now sex is painful. I have hot flashes that keep me awake at night and make me very unhappy during the day.""","i have shrunk inside a bit so now sex is painful.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,tamoxifen
"""I have been on Tamoxifen for 10months now..I have had hot flashes, night sweats, mood swings, heavy menstrual bleeding, discharge, headaches and now back pain. But I want to decrease my chance of possibly getting invasive Breast Cancer or DCIS in my other breast..so will continue to take it.""","""i have been on tamoxifen for 10months now..i have had hot flashes, night sweats, mood swings, heavy menstrual bleeding, discharge, headaches and now back pain.","Symptoms are possibly bad: symptoms mentioned but no verb found","back pain",tamoxifen
"""I had terrible ear pain because of wax blockage. Could not sleep. 

Doc prescribed this piece of brilliance and.. Bam... The pain was gone!!!! 

Fantastic pills.""","""i had terrible ear pain because of wax blockage.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,naproxen
"""I had terrible ear pain because of wax blockage. Could not sleep. 

Doc prescribed this piece of brilliance and.. Bam... The pain was gone!!!! 

Fantastic pills.""","the pain was gone!!!!","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,naproxen
"""I have a torn shoulder tendon (rotator cuff injury) which has been causing me agonising pain 24/7 for 6 months. Ibuprofen wasn't working so I was given Naproxen. It takes quite a while to get to work (up to an hour to kick in) but once it works the relief is amazing. Only thing is, once it wears off (about 4-6 hours), the pain returns big time, and you're not supposed to use more than 2 tablets a day. Also, it made me ravenously hungry at the start (not so much now) so I've added a couple of Kg in weight. When it doesn't work well I take some Paracetamol (Acetaminophen) as well. Doesn't do anything for my headaches though and may even cause them.""","""i have a torn shoulder tendon (rotator cuff injury) which has been causing me agonising pain 24/7 for 6 months.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,naproxen
"""I have a torn shoulder tendon (rotator cuff injury) which has been causing me agonising pain 24/7 for 6 months. Ibuprofen wasn't working so I was given Naproxen. It takes quite a while to get to work (up to an hour to kick in) but once it works the relief is amazing. Only thing is, once it wears off (about 4-6 hours), the pain returns big time, and you're not supposed to use more than 2 tablets a day. Also, it made me ravenously hungry at the start (not so much now) so I've added a couple of Kg in weight. When it doesn't work well I take some Paracetamol (Acetaminophen) as well. Doesn't do anything for my headaches though and may even cause them.""","only thing is, once it wears off (about 4-6 hours), the pain returns big time, and you\'re not supposed to use more than 2 tablets a day.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,naproxen
"""I have a torn shoulder tendon (rotator cuff injury) which has been causing me agonising pain 24/7 for 6 months. Ibuprofen wasn't working so I was given Naproxen. It takes quite a while to get to work (up to an hour to kick in) but once it works the relief is amazing. Only thing is, once it wears off (about 4-6 hours), the pain returns big time, and you're not supposed to use more than 2 tablets a day. Also, it made me ravenously hungry at the start (not so much now) so I've added a couple of Kg in weight. When it doesn't work well I take some Paracetamol (Acetaminophen) as well. Doesn't do anything for my headaches though and may even cause them.""","doesn\'t do anything for my headaches though and may even cause them.""","Symptoms are possibly bad: symptoms mentioned but no verb found",headache,naproxen
"""Girls... If you want to be able to function and actually get out of bed this is the solution for you. I have unbearable cramps to where I'm stuck in bed and cry all day from the pain. I've tried everything over the counter and nothing has worked. I was prescribed the 550 mg and my life has changed. Even though there are times where I still have pain it's not as bad as it was. I don't experience any real side effects except sometimes I get a little tired, but it's not horrible.""","i have unbearable cramps to where i\'m stuck in bed and cry all day from the pain.","Symptoms are bad: Presence of negative verb + symptoms",pain,naproxen
"""Girls... If you want to be able to function and actually get out of bed this is the solution for you. I have unbearable cramps to where I'm stuck in bed and cry all day from the pain. I've tried everything over the counter and nothing has worked. I was prescribed the 550 mg and my life has changed. Even though there are times where I still have pain it's not as bad as it was. I don't experience any real side effects except sometimes I get a little tired, but it's not horrible.""","even though there are times where i still have pain it\'s not as bad as it was.","Symptoms are bad: Presence of negative verb + symptoms",pain,naproxen
"""Doctor prescribed me naproxen sodium since I have endometriosis and it helps my cramps a lot.  My cramps before were so bad they made me stay in bed and made me nauseous. This stops/slows the cramps thus eliminating all my other period pains. Definitely recommend this to other women with the same problem.""","this stops/slows the cramps thus eliminating all my other period pains.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,naproxen
"""I have severe scoliosis so my pain is pretty strong most days. My doctor recommended Aleve so I take 2 caplets (440mg) and there is a bit less pain for a few hours. The package says it works for 8-12 hours, but I'm lucky if it stretches out to 5. Takes my pain from a 7 (out of 10) to a 3 or 4. And then I can't drink for another 8 hours which is no fun.""","takes my pain from a 7 (out of 10) to a 3 or 4.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,naproxen
"""I had been suffering with sciatica for a number of years, when it suddenly worsened.  I started getting shooting pains and severe weakness in both of my legs.  After one dose of 500mg I was able to sit comfortably and walk without the worry of one of my legs giving out from under me""","""i had been suffering with sciatica for a number of years, when it suddenly worsened.","Symptoms are bad: Presence of negative verb + symptoms",sciatica,naproxen
"""I had been suffering with sciatica for a number of years, when it suddenly worsened.  I started getting shooting pains and severe weakness in both of my legs.  After one dose of 500mg I was able to sit comfortably and walk without the worry of one of my legs giving out from under me""","i started getting shooting pains and severe weakness in both of my legs.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,naproxen
"""Nursing student on feet all day, lifting patients. This is the only drug that helps my SI back and hip pain. I keep it with me daily. I would seriously be in trouble with out it.""","this is the only drug that helps my si back and hip pain.","Symptoms are possibly bad: symptoms mentioned but no verb found","hip pain",naproxen
"""Naproxen helped to lessen the pain of herniated discs, but I experienced shortness of breath and was only able to get through 10 mins of cardio class. Before Naproxen I would complete 60 - 90 mins of cardio. I stopped the drug immediately, that was 6 months ago and I still have shortness of breath and can't do cardio class at all. this drug should be pulled from the market.""","""naproxen helped to lessen the pain of herniated discs, but i experienced shortness of breath and was only able to get through 10 mins of cardio class.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,naproxen
"""It does absolutely nothing for my pain.""","""it does absolutely nothing for my pain.""","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,naproxen
"""Aleve heavily advertised for 12 hour pain relief.  Also recommended by a friend.  Tried as desperate for all day pain relief from sciatic nerve.  No effect whatsoever, persevered for a week, no relief, even with recommended stretching.""","tried as desperate for all day pain relief from sciatic nerve.","Symptoms are bad: Presence of negative verb + symptoms",pain,naproxen
"""This should be the first thing you take when you realize you have back pain. At the very least this will take the sharp edge off and give you enough time to get to Urgent Care or an immediate doctor appointment. I have noticed that for extended use (2-5 days) the pain symptoms slowly come back, but at least this is something I can buy OTC.""","""this should be the first thing you take when you realize you have back pain.","Symptoms are possibly bad: symptoms mentioned but no verb found","back pain",naproxen
"""This should be the first thing you take when you realize you have back pain. At the very least this will take the sharp edge off and give you enough time to get to Urgent Care or an immediate doctor appointment. I have noticed that for extended use (2-5 days) the pain symptoms slowly come back, but at least this is something I can buy OTC.""","i have noticed that for extended use (2-5 days) the pain symptoms slowly come back, but at least this is something i can buy otc.""","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,naproxen
"""I was suffering from the common cold and had symptoms of dry cough, congested sinus, large headache, slight ear pain, sore throat, and muscle pain in my knees and gleutus maximus. I couldn't eat anything either and at times felt like vomiting. Also, I would wake up in the middle of sleeping, mumbling from my symptoms and pain. And, I would sleep long hours, and no sleep is enough for me. Taking naproxen 220 mg and sleeping that night, I felt 10 times better. The headache was gone, and so was the muscle pain. I slept good that night. I feel like I could do the usual tasks (including eating) now.""","""i was suffering from the common cold and had symptoms of dry cough, congested sinus, large headache, slight ear pain, sore throat, and muscle pain in my knees and gleutus maximus.","Symptoms are bad: Presence of negative verb + symptoms",cough,naproxen
"""I was suffering from the common cold and had symptoms of dry cough, congested sinus, large headache, slight ear pain, sore throat, and muscle pain in my knees and gleutus maximus. I couldn't eat anything either and at times felt like vomiting. Also, I would wake up in the middle of sleeping, mumbling from my symptoms and pain. And, I would sleep long hours, and no sleep is enough for me. Taking naproxen 220 mg and sleeping that night, I felt 10 times better. The headache was gone, and so was the muscle pain. I slept good that night. I feel like I could do the usual tasks (including eating) now.""","also, i would wake up in the middle of sleeping, mumbling from my symptoms and pain.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,naproxen
"""I was suffering from the common cold and had symptoms of dry cough, congested sinus, large headache, slight ear pain, sore throat, and muscle pain in my knees and gleutus maximus. I couldn't eat anything either and at times felt like vomiting. Also, I would wake up in the middle of sleeping, mumbling from my symptoms and pain. And, I would sleep long hours, and no sleep is enough for me. Taking naproxen 220 mg and sleeping that night, I felt 10 times better. The headache was gone, and so was the muscle pain. I slept good that night. I feel like I could do the usual tasks (including eating) now.""","the headache was gone, and so was the muscle pain.","Symptoms are possibly bad: symptoms mentioned but no verb found",headache,naproxen
"""Female 20 years old - I recently started a new job as a cashier. I started to experience pain after having to pick up heavy packs of water bottles and other heavy items. The pain was all in my lower back. I went to visit my chiropractor and that would alleviate the pain until I went back to work. I would rate my pain on a scale from 1 to 10; a 7. It was a sharp stabbing pulling pain in my lower back and it even hurt to take a deep breath. Today was the first day I took Aleve when I went to work and my back pain was almost completely gone. I was able to move around without being uncomfortable. I am extremely satisfied with the results.""","i started to experience pain after having to pick up heavy packs of water bottles and other heavy items.","Symptoms are bad: Presence of negative verb + symptoms",pain,naproxen
"""Female 20 years old - I recently started a new job as a cashier. I started to experience pain after having to pick up heavy packs of water bottles and other heavy items. The pain was all in my lower back. I went to visit my chiropractor and that would alleviate the pain until I went back to work. I would rate my pain on a scale from 1 to 10; a 7. It was a sharp stabbing pulling pain in my lower back and it even hurt to take a deep breath. Today was the first day I took Aleve when I went to work and my back pain was almost completely gone. I was able to move around without being uncomfortable. I am extremely satisfied with the results.""","the pain was all in my lower back.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,naproxen
"""Female 20 years old - I recently started a new job as a cashier. I started to experience pain after having to pick up heavy packs of water bottles and other heavy items. The pain was all in my lower back. I went to visit my chiropractor and that would alleviate the pain until I went back to work. I would rate my pain on a scale from 1 to 10; a 7. It was a sharp stabbing pulling pain in my lower back and it even hurt to take a deep breath. Today was the first day I took Aleve when I went to work and my back pain was almost completely gone. I was able to move around without being uncomfortable. I am extremely satisfied with the results.""","i would rate my pain on a scale from 1 to 10; a 7.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,naproxen
"""Female 20 years old - I recently started a new job as a cashier. I started to experience pain after having to pick up heavy packs of water bottles and other heavy items. The pain was all in my lower back. I went to visit my chiropractor and that would alleviate the pain until I went back to work. I would rate my pain on a scale from 1 to 10; a 7. It was a sharp stabbing pulling pain in my lower back and it even hurt to take a deep breath. Today was the first day I took Aleve when I went to work and my back pain was almost completely gone. I was able to move around without being uncomfortable. I am extremely satisfied with the results.""","it was a sharp stabbing pulling pain in my lower back and it even hurt to take a deep breath.","Symptoms are bad: Presence of negative verb + symptoms",pain,naproxen
"""I have tendonitis in both elbows and ankles I am young and fit very active person a few months ago I could barely walk or hold a cup of water to my mouth without being in consent pain, I pushed through as much as I could but one day it got too much I went to my doctor who prescribed me 500mg Naproxen and instantly the pain has gone, I am back running and at the gym doing weights. I have had no side effects.""","""i have tendonitis in both elbows and ankles i am young and fit very active person a few months ago i could barely walk or hold a cup of water to my mouth without being in consent pain, i pushed through as much as i could but one day it got too much i went to my doctor who prescribed me 500mg naproxen and instantly the pain has gone, i am back running and at the gym doing weights.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,naproxen
"""I can tell it's working! When ever I take the medication my pain reduces from like a 6 to a 4 which is awesome!!""","when ever i take the medication my pain reduces from like a 6 to a 4 which is awesome!!""","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,naproxen
"""yes I find this drug ok for my condition. Thankfully I haven't experienced any side effects at moment. I have lost weight and pain has been reduced.""","i have lost weight and pain has been reduced.""","Symptoms are bad: Presence of negative verb + symptoms",pain,naproxen
"Had DCIS - grade 0, lumpectomy and 1 week of brachytherapy. Suggested to take Tamoxifen for preventive reasons and strong family history of breast ca.  Started with joint pain, chills, developed minor cataract after 1 year on medication (now advanced enough during second year to have extraction). Late in second year had DVT and taken off drug. The risk of the adverse affects were greater than initial dx.  Continuing off the drug with close supervision by oncologist and surgical oncologist.","started with joint pain, chills, developed minor cataract after 1 year on medication (now advanced enough during second year to have extraction).","Symptoms are ok: Presence of positive verb + symptoms",chills,tamoxifen
"I was told i had a 3cm tumour in my right breast near the lymph nodes. After a lumpectomy it turned out to be grade 3 cancer which is fast growing and invasive. It had not spread and my centinel node was negative. I had 3 weeks of radiotherapy and have been in pain ever since. Had such a big seroma i was crying with the pain. Went back to see my surgeon and had another scan.I had  more seromas by then and had some drained.  I have been on Tamoxifen for about 5 months now. I hate it! The cramps-hot flushes-complete exaustion are just too much to bear sometimes. And i've noticed my face getting a soft downy hair on it. Have to take Tamoxifen for 10 years. ","i had 3 weeks of radiotherapy and have been in pain ever since.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,tamoxifen
"I was told i had a 3cm tumour in my right breast near the lymph nodes. After a lumpectomy it turned out to be grade 3 cancer which is fast growing and invasive. It had not spread and my centinel node was negative. I had 3 weeks of radiotherapy and have been in pain ever since. Had such a big seroma i was crying with the pain. Went back to see my surgeon and had another scan.I had  more seromas by then and had some drained.  I have been on Tamoxifen for about 5 months now. I hate it! The cramps-hot flushes-complete exaustion are just too much to bear sometimes. And i've noticed my face getting a soft downy hair on it. Have to take Tamoxifen for 10 years. ","had such a big seroma i was crying with the pain.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,tamoxifen
