Post,Sentence,SideEffectsStatus,Drug
"""I took Tamoxifen for 5 years with very little side effects.  I had some weight gain, but nothing I could not handle.  I had hot flashes in the beginning, but finally went away.""","""i took tamoxifen for 5 years with very little side effects.","Side effects Present - because of no direct inverter word before ",tamoxifen
"""Girls... If you want to be able to function and actually get out of bed this is the solution for you. I have unbearable cramps to where I'm stuck in bed and cry all day from the pain. I've tried everything over the counter and nothing has worked. I was prescribed the 550 mg and my life has changed. Even though there are times where I still have pain it's not as bad as it was. I don't experience any real side effects except sometimes I get a little tired, but it's not horrible.""","i don\'t experience any real side effects except sometimes i get a little tired, but it\'s not horrible.""","Side effects Present - because symptoms mentioned",naproxen
"""This should be the first thing you take when you realize you have back pain. At the very least this will take the sharp edge off and give you enough time to get to Urgent Care or an immediate doctor appointment. I have noticed that for extended use (2-5 days) the pain symptoms slowly come back, but at least this is something I can buy OTC.""","i have noticed that for extended use (2-5 days) the pain symptoms slowly come back, but at least this is something i can buy otc.""","Side effects Present - because symptoms mentioned",naproxen
"""I was suffering from the common cold and had symptoms of dry cough, congested sinus, large headache, slight ear pain, sore throat, and muscle pain in my knees and gleutus maximus. I couldn't eat anything either and at times felt like vomiting. Also, I would wake up in the middle of sleeping, mumbling from my symptoms and pain. And, I would sleep long hours, and no sleep is enough for me. Taking naproxen 220 mg and sleeping that night, I felt 10 times better. The headache was gone, and so was the muscle pain. I slept good that night. I feel like I could do the usual tasks (including eating) now.""","""i was suffering from the common cold and had symptoms of dry cough, congested sinus, large headache, slight ear pain, sore throat, and muscle pain in my knees and gleutus maximus.","Side effects Present - because symptoms mentioned",naproxen
"""I was suffering from the common cold and had symptoms of dry cough, congested sinus, large headache, slight ear pain, sore throat, and muscle pain in my knees and gleutus maximus. I couldn't eat anything either and at times felt like vomiting. Also, I would wake up in the middle of sleeping, mumbling from my symptoms and pain. And, I would sleep long hours, and no sleep is enough for me. Taking naproxen 220 mg and sleeping that night, I felt 10 times better. The headache was gone, and so was the muscle pain. I slept good that night. I feel like I could do the usual tasks (including eating) now.""","also, i would wake up in the middle of sleeping, mumbling from my symptoms and pain.","Side effects Present - because symptoms mentioned",naproxen
"""I have tendonitis in both elbows and ankles I am young and fit very active person a few months ago I could barely walk or hold a cup of water to my mouth without being in consent pain, I pushed through as much as I could but one day it got too much I went to my doctor who prescribed me 500mg Naproxen and instantly the pain has gone, I am back running and at the gym doing weights. I have had no side effects.""","i have had no side effects.""","No Side Effects",naproxen
"""yes I find this drug ok for my condition. Thankfully I haven't experienced any side effects at moment. I have lost weight and pain has been reduced.""","thankfully i haven\'t experienced any side effects at moment.","Possibly no side effects",naproxen
"I took Tamoxifen for 5 years, 5years ago and I had a good experience with this medication. I have degenerative osteo-arthritis. During the time I took the medication I did not experience any side effects at all and my arthritis even seemed better. I am 70 years old and had mammograms yearly with no cancer.
","during the time i took the medication i did not experience any side effects at all and my arthritis even seemed better.","Possibly no side effects",tamoxifen
"I have been taking tamoxifen and effexor for a little over a year, after lumpectomy, radiation and no chemo.  I feel tired and lethargic all the time. No sex drive, brain fog,muscle aches, and severe constipation are the worst things because these were never a problem before tamox. The first 6 months my hair was falling out in chunks,but my onco said it wasn't the tam. The next time I got my prescription filled, I noticed that ""hair loss"" was listed after ""stroke"" under side effects, so there. The hair loss has stopped, but I also started taking biotin to help my hair.  I have to take tam., but I'm only 53 and I feel 100.  ","the next time i got my prescription filled, i noticed that ""hair loss"" was listed after ""stroke"" under side effects, so there.","Side effects Present - because symptoms mentioned",tamoxifen
"Sudden onset of menopause signs and symptoms didn't sit well with my body. I was still quite young. My body got so confused. I ended up bleeding for 10 months in a row so stopped taking it. ","sudden onset of menopause signs and symptoms didn\'t sit well with my body.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I was diagnosed with stage 0 breast cancer in my right breast in Jan. 2011; Lumpectomy in Feb. 2011; Radiation (6 weeks) March thru April 2011; and started taking the Tamoxifen medication in May 2011. I have been taking Tamoxifen for over three years now. I have had excessive hot flashes and mood swings. In the summer of 2013, I had to take a two months break from the medication because of my hot flashes.  I also have eyes irritations and itchy skin. Recently, Sept. 2014, I had a D & C to stop excessive bleeding, remove polyps and reduce the thickness of uterus walls. The polyps were noncancerous - Thank GOD. Now as a postmenopausal woman, I have to have my uterus removed, Jan. 2015, because of the contiuous bleeding and polyps quickly reforming. Although my Oncologist took me off of the Tamoxifen immediately, August 2014, because of the bleeding - the side effects continues.It makes me wonder if the benefits of the medication outweighs the many side effects that the medication causes. I have an appointment with my oncologist today to discuss medication options. I will see my primary care physician in a couple of weeks for health updates, just before seeing my ob/gyn surgeon in Jan. 2015. Ladies, make sure we do our part in getting the most effective health care by going to doctors and maintaining a personal health log. As a team, we can give breast cancer, a run for its money. God bless and good luck to all taking the breast cancer","although my oncologist took me off of the tamoxifen immediately, august 2014, because of the bleeding - the side effects continues.it makes me wonder if the benefits of the medication outweighs the many side effects that the medication causes.","Side effects Present - because symptoms mentioned",tamoxifen
"I put effective because in 2 years of taking the ""half dose"" (10mg) I have remained cancer free. I however have not felt like myself since the week I started it. I have anxiety (added Ativan to my drugs) hot flashes and mood swings (added Effexor 75 mg) but I still have had almost all of the side effects listed. Eyes have trouble focusing, but I do not need glasses. Bone/joint aches even though I workout 5-6 days per week and do yoga. Zero sex drive - and this was not the case before. Very hard time losing weight. I will do my best to stick it out for 5 years, but have told my oncologist that is it. I cannot do this for another 5 - quality of life is just as important.","i have anxiety (added ativan to my drugs) hot flashes and mood swings (added effexor 75 mg) but i still have had almost all of the side effects listed.","Side effects Present - because symptoms mentioned",tamoxifen
"I had a lumpectomy with nodes removed and was told I was cancer free.  As a precaution, had radiation but no chemo.  Then I was put on Tamoxifen.  This medication got progressively worse as I took it.  During my two months of taking the medication, I experienced chills, night sweats, extreme spike in sugar readings, aches and pains -- so bad I could not make it from room to room, face rash, etc.  I thought I was going to die.  My vision deteriorated so fast on this medication, I was afraid I was going blind.  Headaches were bad.  Mood swings, maybe just because I felt so horrible, were extreme.  My doctor insisted I still keep taking it, but I can't.  Been off for over a month now and still plagued with side effects but they have been lessening with time, and am getting stronger.  I am really afraid of returning breast cancer (or worse) but taking this again is not an option.  Quality of life was not there, I was turning into a vegetable.  Don't know what to do.  ","been off for over a month now and still plagued with side effects but they have been lessening with time, and am getting stronger.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I am 37 and have been taking T for 3 1/2 years. My dr told me he is going to have me take T for longer than the standard 5 years. All of my scans since surgery and treatments have been clear. I have heard a lot of bad reviews on this medication but I have not had bad side effects. Very rarely, I will have mild hot flashes. I have also had some weigh gain,but not enough to make me stop taking the meds.  I am premenopausal so I don't know if that makes a difference.","i have heard a lot of bad reviews on this medication but i have not had bad side effects.","Possibly no side effects",tamoxifen
"I AM 64 I HAVE BEEN ON THE DRUG FOR 2 1/2 YEARS NORMAL I WOULD NOT TAKEN THIS DRUG BUT THE OTHER DRUGS CONTAIN STERIOD, SIDE EFFECTS HOT FLASHES NIGHT SWEATS PAIN IN THE LEGS I HAVE NOT THOSE SINCE MY 50'S I HAVE BEEN OFF THE DRUG FOR 2 MOS BECAUSE I HAD RETINA SURGERY HAD TO BE FACE DOWN FOR ONE MONTH I DIDNT WANT TO DEAL WITH SIDE EFFECTS GUESS WHAT WENT AWAY THE DRUG CAN FORM CRYSTALS IN THE RETINA SO NOW I HAVE TO SEE MY RETINAL DOCTOR TWICE A YEAR NOW I HAVE TO MAKE A CHOICES EYES OR CANCER RIGHT NOW I AM VISUALLY IMPAIRED DUE  TO RETIONA PROBLEMS IN BOTH EYES","i am 64 i have been on the drug for 2 1/2 years normal i would not taken this drug but the other drugs contain steriod, side effects hot flashes night sweats pain in the legs i have not those since my 50\'s i have been off the drug for 2 mos because i had retina surgery had to be face down for one month i didnt want to deal with side effects guess what went away the drug can form crystals in the retina so now i have to see my retinal doctor twice a year now i have to make a choices eyes or cancer right now i am visually impaired due  to retiona problems in both eyes","Side effects Present - because symptoms mentioned",tamoxifen
"I was diagnosed with BC June 2013 and caught very early. Been taking Tamoxifen (T) since then and follow up mamo is clear so far. Gave Effective rating 4 stars since its early yet. I have minor issues, but I don't believe they are T related since I had them before taking it. Symptoms are hot flashes, achy bones/joints, trouble with sleeping at times. Think its just menopause and also believe its not enough vitamin D and calcium.  Taking the Vit D and Cal does help but it takes time.","symptoms are hot flashes, achy bones/joints, trouble with sleeping at times.","Side effects Present - because symptoms mentioned",tamoxifen
"In April 2014, I will have been on Tamoxifen for 5 years. Many side effects. Mostly I have gained weight, 30 lbs., which makes me feel depressed. Also, libido is nonexistent and cataracts are beginning to form. Oncologist wants me to go another 5 yrs. Must decide if the side effects are worth it. Don't want to go through chemo and radiation again, either.","many side effects.","Side effects Present - because of no direct inverter word before ",tamoxifen
"In April 2014, I will have been on Tamoxifen for 5 years. Many side effects. Mostly I have gained weight, 30 lbs., which makes me feel depressed. Also, libido is nonexistent and cataracts are beginning to form. Oncologist wants me to go another 5 yrs. Must decide if the side effects are worth it. Don't want to go through chemo and radiation again, either.","must decide if the side effects are worth it.","Side effects Present - because of no direct inverter word before ",tamoxifen
"Little input frp, Dr. om side effects. Can't feel with finger tiops, toes are are numb throughout half each foot. Don't know to continue after this series.","little input frp, dr. om side effects.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I have all types of side effects and am considering telling my oncologist that i want to stop taking this drug. yes, i will take the risk of the cancer returning!!!!","i have all types of side effects and am considering telling my oncologist that i want to stop taking this drug.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I was diagnosed with DCIS/Stage 0 in 2011.  Had a lumpectomy and declined the radiation after researching and talking to my breast specialist.  I took Tamoxifen for 13 months and discontinued after discussing with my oncologist.  The side effects out weighed the good.  I bacame over whelmed with mood changes and hot flashed which then I was put on Effexor to control those symstoms.  I have also experenced weight gain, low energy. NO libedo and insomnia.  I have now been diagnosed with Osteoarthritis (OA) which is arthritis in the joints.  After researching this it can be caused from menapause which your body is put through like symtoms of menopause.  I believe this is from the Tamoxifen.  I am putting my health in the Lords hands.  I am now off the Tamoxifen and slowing coming off of the Effexor.  I have been off the Tamoxifen for a week and half and now have my life back.  My energy level has returned and leibdo back on track.  Plese do your research on this and talk to your physician. It really depends on the Stage you were diagnosed.  Several other ladies I have talk to that took Tamoxifen are also experiencing OA in the hands.  Research is the key.","the side effects out weighed the good.","Side effects Present - because of no direct inverter word before ",tamoxifen
"Been taking this drug for 6 months & don't notice the side effects others have talked about. I do get hot flashes but not very bad & I was already dealing with those anyway. As far as effectiveness, hard to say. Won't really know until after the 5 years & the cancer doesn't return. ","been taking this drug for 6 months & don\'t notice the side effects others have talked about.","Possibly no side effects",tamoxifen
"I was diagnosed with DCI in Situ in Oct 11, had a lumpectomy in Nov 11 and started my radiation treatments the first week of January. I too have to take Tamoxifen for 5 years. Before reading anything about Tamoxifen, I had no ill feelings about taking the hormone pill to prevent the cancer from recurring. I was given a list of 'possible' side effects from my Oncologist and after reading some of the reviews on here, I am really fearing taking the pill. I've suffered from migraines in the past and that would be the one deal-breaker for me over all other side-effects. (They were really extreme and I don't want to experience that level of pain again.)
I know everyone is different and normally won't experience the same side-effects, but after reading the comments on here - I'm seeing a lot of the same problems/issues. 
Really apprehensive about starting Tamoxifen now.  ","i was given a list of \'possible\' side effects from my oncologist and after reading some of the reviews on here, i am really fearing taking the pill.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I was diagnosed with DCI in Situ in Oct 11, had a lumpectomy in Nov 11 and started my radiation treatments the first week of January. I too have to take Tamoxifen for 5 years. Before reading anything about Tamoxifen, I had no ill feelings about taking the hormone pill to prevent the cancer from recurring. I was given a list of 'possible' side effects from my Oncologist and after reading some of the reviews on here, I am really fearing taking the pill. I've suffered from migraines in the past and that would be the one deal-breaker for me over all other side-effects. (They were really extreme and I don't want to experience that level of pain again.)
I know everyone is different and normally won't experience the same side-effects, but after reading the comments on here - I'm seeing a lot of the same problems/issues. 
Really apprehensive about starting Tamoxifen now.  ","i\'ve suffered from migraines in the past and that would be the one deal-breaker for me over all other side-effects.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I was diagnosed with DCI in Situ in Oct 11, had a lumpectomy in Nov 11 and started my radiation treatments the first week of January. I too have to take Tamoxifen for 5 years. Before reading anything about Tamoxifen, I had no ill feelings about taking the hormone pill to prevent the cancer from recurring. I was given a list of 'possible' side effects from my Oncologist and after reading some of the reviews on here, I am really fearing taking the pill. I've suffered from migraines in the past and that would be the one deal-breaker for me over all other side-effects. (They were really extreme and I don't want to experience that level of pain again.)
I know everyone is different and normally won't experience the same side-effects, but after reading the comments on here - I'm seeing a lot of the same problems/issues. 
Really apprehensive about starting Tamoxifen now.  ","i know everyone is different and normally won\'t experience the same side-effects, but after reading the comments on here - i\'m seeing a lot of the same problems/issues.","Possibly no side effects",tamoxifen
"2 Lumpectomy (right breast), radiation, started Tamoxifen in Jul, nausea passed after 30 days, hot flashes, night drenches, severe insomnia, joint pain (hands/legs), weight gain (20), fatigue, mild vision issues. Started super antibiotics in Dec for infected cyst in breast, 10 days later intense spells lasting 20-25 mins with the following symptoms began, happened 2-4 times a day mostly in the evening (heart palpitations, loss of balance, dizziness, blurred vision, chg in distance vision, extreme pressure behind face/eyes, cognitive disruption (speech/processing data), headaches, elevated blood pressure. Drs ruled out everything else, oncologist determined it was the Tamoxifen and stopped it, 3 weeks later the symptoms are lessening but still present. Have read a great deal more ref this drug during the past several weeks and do not wish to restart. Oncologist told me Thurs he will not put me back on this drug, we will try something else in a month when I am better. I am 51 and have never had any drug sensitivities before this ever, very strong system. ","started super antibiotics in dec for infected cyst in breast, 10 days later intense spells lasting 20-25 mins with the following symptoms began, happened 2-4 times a day mostly in the evening (heart palpitations, loss of balance, dizziness, blurred vision, chg in distance vision, extreme pressure behind face/eyes, cognitive disruption (speech/processing data), headaches, elevated blood pressure.","Side effects Present - because symptoms mentioned",tamoxifen
"2 Lumpectomy (right breast), radiation, started Tamoxifen in Jul, nausea passed after 30 days, hot flashes, night drenches, severe insomnia, joint pain (hands/legs), weight gain (20), fatigue, mild vision issues. Started super antibiotics in Dec for infected cyst in breast, 10 days later intense spells lasting 20-25 mins with the following symptoms began, happened 2-4 times a day mostly in the evening (heart palpitations, loss of balance, dizziness, blurred vision, chg in distance vision, extreme pressure behind face/eyes, cognitive disruption (speech/processing data), headaches, elevated blood pressure. Drs ruled out everything else, oncologist determined it was the Tamoxifen and stopped it, 3 weeks later the symptoms are lessening but still present. Have read a great deal more ref this drug during the past several weeks and do not wish to restart. Oncologist told me Thurs he will not put me back on this drug, we will try something else in a month when I am better. I am 51 and have never had any drug sensitivities before this ever, very strong system. ","drs ruled out everything else, oncologist determined it was the tamoxifen and stopped it, 3 weeks later the symptoms are lessening but still present.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I haven't read all the reviews of this medicine but about 20 most recent ones, think I'm the youngest.  I was diagnoised in Aug 2011, did chemo, lumpsectomy with 27 lyphnodes removed, just completed radiation June 1, I was prescribe Tamox in march but didn't actually start taking til April, I was a lil skeptical about taking this med so still not taking it as should I take it on MWF instead of everyday but I still experience the leg joint pains, hot flashes (not as severe as when I was on chemo), headaches (didn't realize they were from the med til I read reviews), tiredness (thought that was from radiation).  I feel like older lady, because of the pain i feel of getting up or sitting down notice it alot in knees & heel of my foot. I also suppose to be on this pill for 5 yrs...gotta be a better alternative, why does every medicine you take have side effects....","i also suppose to be on this pill for 5 yrs...gotta be a better alternative, why does every medicine you take have side effects....","Side effects Present - because of no direct inverter word before ",tamoxifen
"I am a six year survivor, just finished up my 5 years on tamoxifen. The side effects were tolerable considering the alternative. I found taking it at night was better, also, take the Effexor - it's amazing how much it helps. I am now on Femara for another 5 years and will stay on Effexor throughout these 5 years. I hate being on medication but I want to see my adult sons succeed in their lives. Stay as active as you can, the more exercise you can get the better you will feel. ","the side effects were tolerable considering the alternative.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I was also saddened to read that so many of us are struggling with the side effects of taking this medication. I have 3 1/2 more yrs to take it & am wondering how I am going to get through it... The side effects were gradual but now they are full blown...fatigue, depression, hot flashes, joint pain. I too have lost my pep in my step. My onco gave me Effexor but I am afraid to take another med. I am trying to exercise more to counter the depression.","i was also saddened to read that so many of us are struggling with the side effects of taking this medication.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I was also saddened to read that so many of us are struggling with the side effects of taking this medication. I have 3 1/2 more yrs to take it & am wondering how I am going to get through it... The side effects were gradual but now they are full blown...fatigue, depression, hot flashes, joint pain. I too have lost my pep in my step. My onco gave me Effexor but I am afraid to take another med. I am trying to exercise more to counter the depression.","the side effects were gradual but now they are full blown...fatigue, depression, hot flashes, joint pain.","Side effects Present - because symptoms mentioned",tamoxifen
"I am so saddened to read that other women are experiencing similar symptoms as myself - lethargy, mild depressive mood, night sweats, weight gain - I have lost the pep in my step.  Unsure if chemo treatment 2 years ago caused these changes, or the ongoing tomaxifen.  I don't want breast cancer again so I take it every morning, it is real, but worry about what impact it has on my life and relationships for 5 years ???","i am so saddened to read that other women are experiencing similar symptoms as myself - lethargy, mild depressive mood, night sweats, weight gain - i have lost the pep in my step.","Side effects Present - because symptoms mentioned",tamoxifen
"i feel that this drug is working very well for me although the hardest thing for me are the hot flashes that comes along with taking this drug. also i do experience a little eye pain/blurred vision which could be side effects from other medications/illnesses. so far so good. i have one year &four months left on this drug. i am beating this disease!","also i do experience a little eye pain/blurred vision which could be side effects from other medications/illnesses.","Side effects Present - because symptoms mentioned",tamoxifen
"Left masectomy in March 2010 with lymph node removal on the left side; side effects of tamoxifan are weight gain; hot flashes, my oncologist put me on gapapenten to stop the side effects and it works like a dream. I can sleep at night, I have NEVER gained weight in my life, but have gained 10 pds since being on tamoxifican.  I do not believe it does not cause weight gain as everyone else has the same side effects. I wish there was an alternative for peri menopause women, and hope it is effective, will see.","left masectomy in march 2010 with lymph node removal on the left side; side effects of tamoxifan are weight gain; hot flashes, my oncologist put me on gapapenten to stop the side effects and it works like a dream.","Side effects Present - because symptoms mentioned",tamoxifen
"Left masectomy in March 2010 with lymph node removal on the left side; side effects of tamoxifan are weight gain; hot flashes, my oncologist put me on gapapenten to stop the side effects and it works like a dream. I can sleep at night, I have NEVER gained weight in my life, but have gained 10 pds since being on tamoxifican.  I do not believe it does not cause weight gain as everyone else has the same side effects. I wish there was an alternative for peri menopause women, and hope it is effective, will see.","i do not believe it does not cause weight gain as everyone else has the same side effects.","Possibly no side effects",tamoxifen
"In the beginning I didnt want to take Tamoxifen, I had read many horror stories and it kind of put you off. Anyway I have now been taking this medication for 3 years, side effects are weight gain and joint pain and hot flushes, but I truly believe its a small price to pay if these tablets stop the cancer coming back. I am losing weight after joining a slimming class, I take pain killers for the joint pain.......all in all after my initial kicking and screaming about taking Tamoxifen...I wouldnt be upset if I had to take them the rest of my life!","anyway i have now been taking this medication for 3 years, side effects are weight gain and joint pain and hot flushes, but i truly believe its a small price to pay if these tablets stop the cancer coming back.","Side effects Present - because symptoms mentioned",tamoxifen
"Age 42 Breast cancer multi focal, Stage IIA two lympnodes positive, Mastectomy Nov 2010, AC+Taxol Jan 2011-June2011. I chose to wait 3 months before starting Tamoxifen on Oct 24, 2011. So far so good. I cannot identify the side effects directly related to tamoxifen because small side effects from Chemo still there a little bit. Hot flashes and joint pain from CHemo subsided and do not return with Tamoxifen. No bone pains or headaches. I have some sleeplessness but dealing with it by taking Tamoxifen in the morning, only one coffee in the morning, and dringking Camomile warm tea before bedtime. This is helping so far. Every other couple days, I will take 1-2 capsules of valarian roots to help get a good night sleep. You are not supposed to take this every day. Noticed slight weight gain but control with healthy eating and less portion of carbs at dinner time. No fried food. Big breafast and lunch with increase in vegetables and fresh fruits. I do not exercise! In fact,I notice a light weight loss this morning! I read a lot of reviews about this drug and took some preperation prior to starting Tamoxifen. I am now taking 1 Omega-3 in the morning, 1 multivitamin (1 a day woman) at lunch time and 1 calcium with D3/Mag/Zinc & 1 Omega-3 at Dinner time. I think this keeps me from having bone and joint pain and also keep blood clots which cause leg pains away. For those who have a lot of side effects, you might want to consult your doctor to see if these vitamins will help you. Good luck everyone! I hope my information helps!
","i cannot identify the side effects directly related to tamoxifen because small side effects from chemo still there a little bit.","Possibly no side effects",tamoxifen
"Age 42 Breast cancer multi focal, Stage IIA two lympnodes positive, Mastectomy Nov 2010, AC+Taxol Jan 2011-June2011. I chose to wait 3 months before starting Tamoxifen on Oct 24, 2011. So far so good. I cannot identify the side effects directly related to tamoxifen because small side effects from Chemo still there a little bit. Hot flashes and joint pain from CHemo subsided and do not return with Tamoxifen. No bone pains or headaches. I have some sleeplessness but dealing with it by taking Tamoxifen in the morning, only one coffee in the morning, and dringking Camomile warm tea before bedtime. This is helping so far. Every other couple days, I will take 1-2 capsules of valarian roots to help get a good night sleep. You are not supposed to take this every day. Noticed slight weight gain but control with healthy eating and less portion of carbs at dinner time. No fried food. Big breafast and lunch with increase in vegetables and fresh fruits. I do not exercise! In fact,I notice a light weight loss this morning! I read a lot of reviews about this drug and took some preperation prior to starting Tamoxifen. I am now taking 1 Omega-3 in the morning, 1 multivitamin (1 a day woman) at lunch time and 1 calcium with D3/Mag/Zinc & 1 Omega-3 at Dinner time. I think this keeps me from having bone and joint pain and also keep blood clots which cause leg pains away. For those who have a lot of side effects, you might want to consult your doctor to see if these vitamins will help you. Good luck everyone! I hope my information helps!
","for those who have a lot of side effects, you might want to consult your doctor to see if these vitamins will help you.","Side effects Present - because of no direct inverter word before ",tamoxifen
"The side effects of Tamoxifen are terrible, especially the weight gain--10 pounds a week the first five weeks! The headaches were also migraine-level but did not respond to treatment.  I was removed from treatment on this medication because of these and other side effects after 5 weeks, so its effectiveness cannot be really examined accurately.","the side effects of tamoxifen are terrible, especially the weight gain--10 pounds a week the first five weeks!","Side effects Present - because of no direct inverter word before ",tamoxifen
"The side effects of Tamoxifen are terrible, especially the weight gain--10 pounds a week the first five weeks! The headaches were also migraine-level but did not respond to treatment.  I was removed from treatment on this medication because of these and other side effects after 5 weeks, so its effectiveness cannot be really examined accurately.","i was removed from treatment on this medication because of these and other side effects after 5 weeks, so its effectiveness cannot be really examined accurately.","Side effects Present - because of no direct inverter word before ",tamoxifen
